Pollutant,Validation,Model,n,R2,RMSE,MAE,MBE,Pearson,CCC
PM2.5,Temporal 70/30,Raw reading,5066,0.07534997056008241,20.656989437696286,11.388753849190683,5.4975706671930515,0.8004127948622213,0.7229724654871832
PM2.5,LOCO,Raw reading,16860,0.10626999674547355,20.862513377363364,11.941555862000792,6.580651196124951,0.8166111456603409,0.7331440352712021
PM2.5,Temporal 70/30,Linear PM,5066,0.6399380647954461,12.89041617977186,7.817214087751931,0.18555348434963698,0.8004127948622213,0.7859491492224826
PM2.5,LOCO,Linear PM,16860,0.6596682411277349,12.874035381808865,7.968437402993835,0.03328147106714849,0.8122226028922063,0.7961302582372833
PM2.5,Temporal 70/30,+ season/month,5066,0.6721502913936283,12.300300868913103,7.394053640755251,-0.15390547373881028,0.8202484498965675,0.8087052358050156
PM2.5,LOCO,+ season/month,16860,0.6863959629233789,12.35817331646142,7.600955955685916,0.04378042968230292,0.8285141874748364,0.8151353841665944
PM2.5,Temporal 70/30,+ temperature/RH,5066,0.6685520459167344,12.36761635292807,7.449741273607368,-0.023611027546517123,0.8179558841593169,0.805725378872443
PM2.5,LOCO,+ temperature/RH,16860,0.6853337353023066,12.379085189869198,7.620141087265989,0.053544303373420046,0.8278789632182658,0.8145105859430531
PM2.5,Temporal 70/30,+ full meteorology,5066,0.6827143110893679,12.100507228616744,7.414494278506647,0.17450484508195366,0.8266671705489204,0.816011256516107
PM2.5,LOCO,+ full meteorology,16860,0.6959679216106813,12.168111018739314,7.591557620310462,0.03357324661235126,0.8342763752099187,0.8219415853830769
PM10,Temporal 70/30,Raw reading,6392,-0.1670540104906102,29.53110338954512,18.333915643001585,0.027090193199055715,0.7261795596237484,0.6599472314781782
PM10,LOCO,Raw reading,21267,-0.00014617679817208185,27.694298351910525,17.38108139286873,0.793285200695266,0.7312585334685839,0.6813225448190766
PM10,Temporal 70/30,Linear PM,6392,0.5204123380572636,18.930766435817365,12.518514456319462,-0.5347738255491619,0.7261795596237479,0.7096451157806966
PM10,LOCO,Linear PM,21267,0.5250436560880093,19.08470597336837,12.477613474158845,0.012192685846951207,0.7246037697015746,0.6893332828084278
PM10,Temporal 70/30,+ season/month,6392,0.5237289926160531,18.86519370793932,12.606443051460715,-0.7816082757068115,0.7282403946368231,0.7109554409851363
PM10,LOCO,+ season/month,21267,0.5301321823930434,18.982197035805125,12.469174726470605,0.01919439514339829,0.7281114204648624,0.6940020828832031
PM10,Temporal 70/30,+ temperature/RH,6392,0.5352597218785234,18.635427207606753,12.29510769299292,-0.45458429396303945,0.7368151218388881,0.7228672494492545
PM10,LOCO,+ temperature/RH,21267,0.5562306405937625,18.447489986154746,11.846535698239315,0.030393748858209217,0.7458238583968924,0.7161099563853537
PM10,Temporal 70/30,+ full meteorology,6392,0.554240218725337,18.25091477995709,12.098618591647119,-0.2834682284343633,0.7480849892526455,0.7336798643713628
PM10,LOCO,+ full meteorology,21267,0.5653857364189935,18.256209658929485,11.780306276478386,0.03670579117751003,0.7519423962341379,0.7238210052663775
