Pollutant,Cities,Train_n,n,R2,RMSE,MAE,MBE,Pearson,CCC
PM2.5,13,7102,9027,0.6913963670531795,12.75004151830183,7.81719569677953,1.791713194557984,0.8391540952228022,0.8335677163738509
PM10,15,8562,10053,0.5022020238632987,19.008832505963873,12.699209302155952,4.298094157294707,0.7673023843502822,0.7577205091907345
