Pollutant,R2,R2_CI_low,R2_CI_high,Delta_R2,Delta_CI_low,Delta_CI_high
PM2.5,0.6959679216106813,0.6115713297926376,0.7508123157096896,0.009571958687302429,-0.0009214417364012323,0.018968974401921954
PM10,0.5653857364189935,0.4782107983956075,0.6164595653357345,0.035253554025950096,0.022472548735726457,0.05475671212906719
