City,Date,T2m_mean_C,RH2m_mean_pct,Wind10m_mean_ms,Precipitation_sum_mm,Requested_latitude,Requested_longitude,Grid_latitude,Grid_longitude,Grid_elevation_m,Timezone,Source_model
Beograd,2019-11-18,14.9,69,4.69,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-19,12.1,79,4.29,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-20,13.4,77,6.26,1.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-21,12.7,76,5.2,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-22,8.3,71,6.68,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-23,5.5,73,6.64,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-24,6.7,75,6.55,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-25,8.4,77,5.09,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-26,9.1,80,2.85,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-27,8.2,83,3.45,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-28,12.4,82,3.19,7.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-29,10.9,89,1.89,1.9,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-11-30,6.5,75,3.96,9.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-01,1.0,77,2.26,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-02,4.7,72,4.87,10.2,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-03,2.8,90,2.82,2.6,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-04,1.2,94,1.41,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-05,0.3,89,2.43,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-06,-0.3,94,1.69,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-07,5.2,88,1.79,0.9,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-08,5.1,95,2.15,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-09,6.4,82,3.33,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-10,6.9,87,3.12,3.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-11,4.2,89,2.08,0.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-12,5.1,88,3.78,1.2,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-13,7.8,80,4.69,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-14,7.3,81,4.25,0.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-15,5.8,84,2.84,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-16,7.6,74,2.5,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-17,7.7,79,2.47,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-18,6.9,83,1.77,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-19,7.5,80,2.59,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-20,10.2,66,4.54,0.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-21,14.0,64,5.72,0.1,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-22,12.9,75,4.83,2.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-23,7.9,88,6.36,15.7,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-24,7.2,80,5.88,8.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-25,5.5,89,2.84,3.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-26,5.3,90,4.2,3.5,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-27,3.1,88,3.18,0.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-28,2.1,92,4.3,4.0,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
Beograd,2019-12-29,0.5,84,4.74,0.8,44.80401,20.46513,44.75,20.5,120.0,Europe/Belgrade,ERA5
